integrated_code	seed_label	AdjustedWPsize	Articles	WPincubatornew	WPsizeinchars	Realtotalratio	Avggoodpagelength	Population Size	Institutional	Stable	Endangered	Extinct	Digital Support	has_glottolog	has_bible	win11_os_supported	tatoeba_sentences	has_wals	is_macrolanguage	has_wiki
aaa	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	1	0	0
aab	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	1	0	0	0.0	0	0	0
aac	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
aad	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	1	0	0	0.0	0	0	0
aae	-	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	2.0	1	0	0	0.0	0	0	0
aaf	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
aag	s	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
aah	s	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	1	0	0
aai	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	0	0	0
aak	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	0	0	0
aal	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	1	0	0
aam	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	0.0	0	0	0
aan	s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
aao	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	1	0	0	0.0	0	0	0
aap	s	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
aaq	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1	0	0	0.0	0	0	0
aar	-	0.0	0.0	1.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	2.0	1	0	0	0.0	1	0	0
aas	s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
aat	-	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	1	0	0	0.0	0	0	0
aau	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	1	0	0
aaw	s	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	1	0	0	0.0	0	0	0
aax	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
aay	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	0.0	0	0	0
aaz	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	0	0	0
aba	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	0	0	0
abb	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	1	0	0	0.0	1	0	0
abc	s	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	1	0	0	0.0	0	0	0
abd	s	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	0	0	0
abe	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1	0	0	0.0	1	0	0
abf	s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
abg	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
abh	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	1	0	0	0.0	0	0	0
abi	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	1	0	0
abj	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1	0	0	0.0	1	0	0
abk	-	6.670622	3.914766	0.0	6.670622	0.166585543927963	2.868204	5.0	1.0	0.0	0.0	0.0	3.0	1	1	0	1.568201724066995	1	0	1
abl	-	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	1	0	0	0.0	0	0	0
abm	s	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	1	0	0	0.0	0	0	0
abn	-	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	2.0	1	0	0	0.0	0	0	0
abo	s	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1	0	0	0.0	0	0	0
abp	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	2.0	1	0	0	0.0	0	0	0
abq	-	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	1	0	0	1.0791812460476249	1	0	0
abr	s	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	2.0	1	0	0	0.0	0	0	0
abs	s	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	2.0	1	0	0	0.0	0	0	0
